W,h,n,classe_log2,N_min,N_max,ciclos,media_especies,desvio,ciclos_usados
4.0,0.99,3,8,360.3361411083538,835.5102805993423,6,152.83333333333334,17.588822208057785,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.99,3,9,835.5102805993423,1937.2950679884161,6,108.83333333333333,8.750238091998792,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.99,3,10,1937.2950679884161,4492.000000000001,6,6.166666666666667,3.6560452221856705,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.99,5,1,1.0,2.318696864625919,6,42.5,6.024948132556827,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.99,5,2,2.318696864625919,5.3763551500260665,6,28.166666666666668,7.440878084384037,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.99,5,3,5.3763551500260665,12.466137829480852,6,37.666666666666664,4.366539438350085,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.99,5,4,12.466137829480852,28.90519469921181,6,45.833333333333336,6.6758270399005,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.99,5,5,28.90519469921181,67.02238432046413,6,47.333333333333336,7.659416862050705,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.99,5,6,67.02238432046413,155.40459238361356,6,55.166666666666664,4.445971959725642,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.99,5,7,155.40459238361356,360.3361411083538,6,73.5,10.406728592598157,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.99,5,8,360.3361411083538,835.5102805993423,6,177.33333333333334,14.787382008545888,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.99,5,9,835.5102805993423,1937.2950679884161,6,110.16666666666667,4.750438576243952,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.99,5,10,1937.2950679884161,4492.000000000001,6,1.3333333333333333,2.0655911179772892,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.99,10,1,1.0,2.318696864625919,5,44.0,7.176350047203662,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005
4.0,0.99,10,2,2.318696864625919,5.3763551500260665,5,28.6,5.029910535983717,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005
4.0,0.99,10,3,5.3763551500260665,12.466137829480852,5,43.6,7.436396977031283,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005
4.0,0.99,10,4,12.466137829480852,28.90519469921181,5,46.2,2.6832815729997477,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005
4.0,0.99,10,5,28.90519469921181,67.02238432046413,5,52.6,3.911521443121589,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005
4.0,0.99,10,6,67.02238432046413,155.40459238361356,5,62.0,7.968688725254614,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005
4.0,0.99,10,7,155.40459238361356,360.3361411083538,5,85.0,10.27131929208707,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005
4.0,0.99,10,8,360.3361411083538,835.5102805993423,5,149.2,15.205262246998572,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005
4.0,0.99,10,9,835.5102805993423,1937.2950679884161,5,111.0,11.937336386313323,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005
4.0,0.99,10,10,1937.2950679884161,4492.000000000001,5,3.6,3.286335345030997,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005
4.0,0.99,25,1,1.0,2.318696864625919,6,42.333333333333336,3.9832984656772417,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.99,25,2,2.318696864625919,5.3763551500260665,6,28.666666666666668,4.457203906785807,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.99,25,3,5.3763551500260665,12.466137829480852,6,40.166666666666664,5.564770136013406,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.99,25,4,12.466137829480852,28.90519469921181,6,46.333333333333336,6.889605697474034,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.99,25,5,28.90519469921181,67.02238432046413,6,53.5,9.268225288586807,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.99,25,6,67.02238432046413,155.40459238361356,6,56.5,8.803408430829505,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
